"NAME","AVG II","MAX II","MIN II","AVG LATENCY","MAX LATENCY","MIN LATENCY","STALLING TIME","FIFO EMPTY","FIFO FULL","STALL NO START","STALL NO CONTINUE"
"entry_proc_U0",,,,0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%"
"lzCompress_6_4_65536_6_1_1024_64_U0",,,,3931,3931,3931,"1.25%","0.00%","1.25%","0.00%","0.00%"
"lzBestMatchFilter_6_65536_U0",,,,3954,3954,3954,"34.21%","34.19%","0.02%","0.00%","0.00%"
"lzBooster_255_16384_64_U0",,,,3960,3960,3960,"7.88%","6.71%","1.18%","0.00%","0.00%"
"lz4Compress_4096_8_U0",,,,4246,4246,4246,"69.46%","69.46%","0.00%","0.00%","0.00%"
"lz4CompressPart1_4096_8_U0",,,,4246,4246,4246,"75.72%","69.46%","0.00%","0.00%","6.26%"
"lz4CompressPart2_U0",,,,4245,4245,4245,"43.62%","43.62%","0.00%","0.00%","0.00%"
"AESL_inst_lz4CompressEngineRun",,,,4247,4247,4247,"0.00%","0.00%","0.00%","0.00%","0.00%"
"grp_lzCompress_6_4_65536_6_1_1024_64_Pipeline_dict_flush_fu_150",,,,256,256,256,"0.00%","0.00%","0.00%","0.00%","0.00%"
"grp_lzCompress_6_4_65536_6_1_1024_64_Outline_VITIS_LOOP_84_2_fu_158",,,,6,6,6,"0.00%","0.00%","0.00%","0.00%","0.00%"
"grp_lzCompress_6_4_65536_6_1_1024_64_Pipeline_lz_compress_fu_174",,,,3545,3545,3545,"0.00%","0.00%","0.00%","0.00%","0.00%"
"grp_lzCompress_6_4_65536_6_1_1024_64_Pipeline_lz_compress_leftover_fu_197",,,,5,5,5,"0.00%","0.00%","0.00%","0.00%","0.00%"
"grp_lzCompress_6_4_65536_6_1_1024_64_Pipeline_lz_left_bytes_fu_208",,,,117,117,117,"0.00%","0.00%","0.00%","0.00%","0.00%"
"grp_lzBestMatchFilter_6_65536_Pipeline_lz_bestMatchFilter_fu_135",,,,3659,3659,3659,"0.00%","0.00%","0.00%","0.00%","0.00%"
"grp_lzBooster_255_16384_64_Pipeline_lz_booster_fu_206",,,,3840,3840,3840,"0.00%","0.00%","0.00%","0.00%","0.00%"
"grp_lz4CompressPart1_4096_8_Pipeline_lz4_divide_fu_158",,,,3678,3678,3678,"0.00%","0.00%","0.00%","0.00%","0.00%"
"grp_lz4CompressPart2_Pipeline_lz4_compress_fu_91",,,,4241,4241,4241,"0.00%","0.00%","0.00%","0.00%","0.00%"
"dict_flush",,,,257,257,257,"-","-","-","-","-"
"VITIS_LOOP_84_2",,,,6,6,6,"-","-","-","-","-"
